id,cluster,center_distance
169849,2,0.7811442
365138,5,0.86267275
459089,4,0.9567021
255985,1,0.91207117
244971,4,0.9960979
39169,5,0.860395
248672,5,0.9045463
88740,2,0.78991413
121344,4,0.9864228
176593,4,0.9831481
132955,4,1.0032524
402246,2,0.8687817
83417,5,0.86089087
94547,4,0.98296285
262768,0,0.9715411
390932,1,0.91313773
287573,2,0.9401002
310869,4,0.98959297
163492,4,1.0037812
8606,4,0.91336113
181656,4,0.96846
389560,4,0.980354
85434,4,1.0214543
90499,4,0.9351033
272869,2,0.87142974
57203,4,0.9633053
429838,1,0.79747957
289559,5,0.93494546
349293,1,0.93319964
509443,4,0.9635565
423880,4,1.00899
127184,2,0.98996
131582,4,0.95960975
141738,2,0.95894146
470575,4,0.9377065
180817,5,0.84398276
133326,3,0.8625757
359203,1,0.90603334
185088,5,0.9609973
215039,1,0.928403
133481,1,0.94130814
513963,4,1.012721
300960,1,0.83230245
98213,5,0.9333093
531143,4,0.96566826
213395,4,0.9672543
286624,2,0.9656023
27060,5,0.83302146
82530,2,0.97224444
334201,2,0.9682954
358003,5,0.9260065
482111,2,0.93644047
286807,2,0.91383207
457730,2,0.9438598
127743,2,0.8806533
368029,4,0.9975659
135933,2,0.8672074
126072,2,0.97862446
20238,2,0.830721
129377,2,0.8112147
402119,2,0.94561595
289509,4,0.99700314
417632,2,0.94290996
151775,2,0.94579667
83703,4,0.9346823
239306,1,0.8409503
89434,4,0.98913884
468112,1,0.83575046
458576,5,0.90317935
146813,4,1.0024837
181106,1,0.8707645
632,4,1.0046757
6652,5,0.89007014
292147,2,0.9821715
221429,5,0.92459565
139353,2,0.9852409
470360,5,0.85840386
418387,4,1.0232047
382300,5,0.88362783
223872,5,0.91169506
218671,2,0.9659402
430121,2,0.877868
268681,2,0.8772275
151328,2,0.8712529
203134,2,0.84893435
436030,5,0.87775886
320924,5,0.8900322
220503,2,0.923623
336323,2,0.85884863
325137,2,0.84941566
486979,5,0.8758962
22774,2,0.8440573
79425,2,1.0111746
213681,2,0.90146077
121712,4,1.0076237
