id,taste_cluster,taste_center_distance
11361,2,1.0071269
248676,2,1.0140191
359972,14,0.8074596
427872,14,0.8483218
357474,0,0.8044628
29935,3,0.8924838
459738,2,0.9777433
458929,4,0.5880328
458729,15,0.78518826
447710,2,0.9654882
374271,5,0.91578025
187843,2,0.98791087
78123,14,0.9320358
420931,2,0.9655406
111198,6,0.7823911
276330,2,1.0161725
103811,2,0.98932254
56719,7,0.8467518
164636,4,0.79945093
58321,4,0.5773756
100864,6,0.7357581
332651,9,0.79803824
146767,0,0.8252607
102895,2,0.97818744
33246,13,0.9055591
14881,1,0.66130906
493178,2,0.9678735
302498,2,0.92936647
13805,14,0.85333437
378067,2,0.9676919
164100,0,0.8887051
266081,9,0.73702097
206648,0,0.66323113
207897,1,0.87796324
320454,6,0.84419036
377326,2,1.0321758
216873,4,0.93999195
407947,9,0.7928574
389672,3,0.7657114
111072,0,0.6498657
165438,3,0.82441276
80411,3,0.8476468
149243,0,0.87873715
247646,3,0.90372247
256535,6,0.7973282
267159,0,0.78063464
401283,4,0.80996376
165274,13,1.0262316
211938,6,0.7167099
217180,2,0.9253202
47924,15,0.8840935
418500,13,1.0106523
137296,2,1.0363436
428566,6,0.8243248
533190,15,0.8961284
291956,2,0.95685065
385464,13,1.0058949
385460,2,0.95168114
172373,9,0.87086934
12983,0,0.85424805
240165,3,0.8387341
344373,2,0.9618721
348965,15,0.849135
478546,14,0.8192275
168663,13,1.0105246
40228,2,0.9539281
433667,4,0.864607
351229,3,0.7164501
169849,13,0.7934291
365138,4,0.87735087
459089,11,0.8349518
255985,5,0.82098836
244971,5,0.8519583
39169,7,0.7642184
248672,4,0.91629547
88740,3,0.7629485
121344,14,0.7346908
176593,7,0.9292027
132955,2,0.9907273
402246,0,0.8328115
83417,4,0.8663512
94547,0,0.90459174
262768,10,0.897543
390932,1,0.9079417
287573,10,0.64609975
310869,5,0.74278784
163492,2,1.0088643
8606,15,0.8501306
181656,2,0.9609601
389560,10,0.753061
85434,13,0.90438193
90499,2,0.93861115
272869,0,0.79947597
57203,7,0.8199757
429838,1,0.7966278
289559,7,0.90603507
349293,2,0.9258768
509443,5,0.6760363
423880,2,1.0156999
127184,13,0.9225623
131582,11,0.7619611
141738,13,0.97206056
470575,2,0.9098802
180817,4,0.8336488
133326,9,0.8664517
359203,1,0.8988721
185088,5,0.8131144
215039,1,0.93040824
133481,5,0.78905016
513963,13,0.998565
300960,1,0.83187985
98213,7,0.83305854
531143,2,0.95864886
213395,5,0.882048
286624,13,0.925193
27060,14,0.68508536
82530,0,0.9439769
334201,6,0.8707
358003,6,0.8420045
482111,13,0.923578
286807,3,0.85618556
457730,13,0.8907284
