recipe_id,row_index
67108,1325
384212,1326
304363,1327
106797,1328
309910,1329
406190,1330
140057,1331
422484,1332
377656,1333
199142,1334
146291,1335
113110,1336
50775,1337
32499,1338
395678,1339
18985,1340
259452,1341
121788,1342
304629,1343
261410,1344
304216,1345
461481,1346
38676,1347
116305,1348
210974,1349
92833,1350
404323,1351
110234,1352
254252,1353
434502,1354
317681,1355
315233,1356
223242,1357
361446,1358
58869,1359
30999,1360
241907,1361
231245,1362
331174,1363
55425,1364
432016,1365
15514,1366
102687,1367
204480,1368
344050,1369
314417,1370
424409,1371
450047,1372
429949,1373
254176,1374
15719,1375
85476,1376
109758,1377
48850,1378
188325,1379
161088,1380
393717,1381
54932,1382
385912,1383
376731,1384
153419,1385
205199,1386
394202,1387
440717,1388
407621,1389
162376,1390
291960,1391
283556,1392
298752,1393
485911,1394
59384,1395
215081,1396
92405,1397
454927,1398
467042,1399
46,1400
504956,1401
109007,1402
15715,1403
90092,1404
230475,1405
305227,1406
60892,1407
316454,1408
151228,1409
169418,1410
278406,1411
54052,1412
395663,1413
131967,1414
33933,1415
313377,1416
32792,1417
15764,1418
385170,1419
327059,1420
57209,1421
413636,1422
430182,1423
282988,1424
194864,1425
246991,1426
351897,1427
132587,1428
115,1429
154834,1430
324567,1431
418874,1432
401163,1433
426699,1434
285395,1435
451250,1436
184176,1437
274336,1438
62911,1439
309855,1440
182356,1441
153156,1442
371896,1443
93329,1444
402648,1445
277595,1446
359858,1447
429764,1448
32459,1449
240401,1450
504948,1451
228627,1452
163342,1453
125721,1454
20519,1455
355195,1456
158578,1457
66603,1458
3779,1459
242319,1460
237819,1461
50414,1462
429759,1463
153702,1464
317265,1465
62550,1466
272722,1467
198681,1468
346160,1469
174190,1470
332428,1471
39050,1472
139718,1473
304187,1474
424892,1475
149966,1476
128563,1477
309827,1478
494527,1479
368577,1480
130995,1481
221820,1482
401826,1483
50250,1484
76009,1485
425432,1486
502923,1487
108608,1488
63907,1489
390779,1490
341025,1491
315982,1492
103153,1493
177150,1494
37587,1495
284060,1496
437213,1497
59660,1498
32741,1499
223285,1500
229794,1501
483829,1502
162801,1503
196210,1504
275002,1505
423582,1506
384215,1507
406992,1508
163884,1509
28723,1510
144920,1511
463289,1512
321719,1513
359736,1514
246579,1515
450863,1516
16631,1517
301076,1518
443680,1519
253207,1520
397504,1521
442413,1522
219233,1523
123716,1524
240415,1525
518146,1526
517683,1527
26283,1528
266898,1529
220913,1530
115776,1531
140174,1532
518176,1533
60129,1534
269418,1535
281359,1536
170017,1537
505777,1538
340429,1539
446600,1540
518068,1541
517702,1542
518151,1543
135906,1544
481109,1545
24819,1546
245851,1547
518143,1548
518234,1549
110919,1550
12650,1551
388761,1552
398291,1553
397287,1554
518192,1555
415719,1556
96178,1557
194302,1558
158223,1559
50259,1560
86674,1561
70134,1562
371110,1563
463168,1564
89706,1565
30566,1566
262916,1567
442133,1568
452907,1569
476852,1570
438754,1571
174129,1572
437153,1573
14001,1574
16019,1575
420083,1576
335920,1577
374517,1578
354492,1579
201876,1580
206557,1581
366306,1582
293360,1583
201921,1584
265817,1585
401849,1586
217059,1587
122072,1588
442142,1589
299417,1590
213996,1591
296347,1592
407577,1593
390307,1594
281740,1595
494443,1596
486754,1597
429869,1598
19509,1599
134233,1600
498402,1601
413505,1602
29835,1603
169348,1604
463680,1605
15487,1606
75779,1607
19618,1608
132698,1609
44347,1610
276697,1611
347655,1612
277865,1613
190724,1614
169350,1615
251276,1616
169648,1617
240397,1618
184628,1619
183578,1620
225076,1621
261358,1622
251020,1623
263019,1624
324404,1625
292093,1626
343567,1627
276576,1628
67478,1629
496542,1630
243155,1631
114061,1632
383260,1633
433529,1634
16975,1635
502451,1636
186762,1637
303749,1638
502254,1639
14429,1640
281792,1641
60141,1642
32139,1643
100081,1644
356359,1645
23378,1646
225683,1647
502868,1648
